Control_ID,Family_Name,Assessment_Status,Justification_Notes
CA-19,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-19(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-19(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-20,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-20(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-20(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-21,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-21(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-21(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-22,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-22(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-22(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-23,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-23(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-23(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-24,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-24(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-24(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-25,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-25(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-25(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CM-1,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-1(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-1(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-2,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-2(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-2(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-3,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-3(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-3(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-4,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-4(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-4(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-5,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-5(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-5(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-6,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-6(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-6(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-7,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-7(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-7(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-8,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-8(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-8(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-9,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-9(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-9(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-10,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-10(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-10(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-11,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-11(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-11(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-12,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-12(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-12(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-13,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-13(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-13(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-14,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-14(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-14(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-15,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-15(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-15(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-16,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-16(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-16(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-17,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-17(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-17(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-18,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-18(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-18(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-19,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-19(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-19(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-20,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-20(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-20(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-21,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-21(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-21(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-22,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-22(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-22(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-23,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-23(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-23(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-24,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-24(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-24(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-25,Configuration Management,Pass,Strict versioning of model weights and architecture.
CM-25(1),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CM-25(2),Configuration Management Enhancement,Pass,Enhancement requirement: Strict versioning of model weights and architecture.
CP-1,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-1(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-1(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-2,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-2(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-2(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-3,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-3(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-3(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-4,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-4(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-4(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-5,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-5(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-5(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-6,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-6(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-6(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-7,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-7(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-7(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-8,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-8(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-8(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-9,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-9(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-9(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-10,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-10(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-10(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-11,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-11(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-11(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-12,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-12(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-12(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-13,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-13(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-13(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-14,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-14(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-14(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-15,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-15(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-15(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-16,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-16(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-16(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-17,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-17(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-17(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-18,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-18(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-18(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-19,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-19(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-19(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-20,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-20(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-20(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-21,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-21(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-21(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-22,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-22(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-22(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-23,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-23(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-23(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-24,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-24(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-24(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-25,Contingency Planning,Pass,Regional failover and high-availability architecture.
CP-25(1),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
CP-25(2),Contingency Planning Enhancement,Pass,Enhancement requirement: Regional failover and high-availability architecture.
IA-1,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-1(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-1(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-2,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-2(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-2(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-3,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-3(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-3(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-4,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-4(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-4(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-5,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-5(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-5(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-6,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-6(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-6(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-7,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-7(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-7(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-8,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-8(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-8(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-9,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-9(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-9(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-10,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-10(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-10(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-11,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-11(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-11(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-12,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-12(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-12(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-13,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-13(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-13(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-14,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-14(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-14(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-15,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-15(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-15(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-16,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-16(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-16(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-17,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-17(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-17(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-18,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-18(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-18(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-19,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-19(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-19(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-20,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-20(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-20(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-21,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-21(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-21(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-22,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-22(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-22(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-23,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-23(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-23(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-24,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-24(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-24(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-25,Identification and Authentication,Shared,MFA and FIPS-validated auth via Cloud identity services.
IA-25(1),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IA-25(2),Identification and Authentication Enhancement,Shared,Enhancement requirement: MFA and FIPS-validated auth via Cloud identity services.
IR-1,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-1(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-1(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-2,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-2(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-2(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-3,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-3(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-3(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-4,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-4(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-4(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-5,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-5(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-5(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-6,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-6(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-6(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-7,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-7(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-7(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-8,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-8(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-8(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-9,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-9(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-9(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-10,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-10(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-10(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-11,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-11(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-11(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-12,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-12(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-12(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-13,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-13(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-13(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-14,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-14(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-14(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-15,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-15(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-15(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-16,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-16(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-16(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-17,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-17(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-17(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-18,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
